point,system,L-mode,L-Ordinate-N(Y),L-Abscissa-E(X),Rel-0-points,R-mode,R-Ordinate-N(Y),R-Abscissa-E(X)
,67,轉換,"2,753,949.29","277,763.55",, 轉換,2753649.287,278241.163
, 地籍,轉換,"82,760.75","60,578.15",, 轉換,82461.835,61056.389
淡078A,97,GPS,"2,753,809.51","278,210.04",-44.63, GPS,2753374.177,278897.5
,67,轉換,"2,754,013.39","277,380.04",, 轉換,2753578.094,278067.506
, 地籍,轉換,"82,823.99","60,194.57",, 轉換,82390.249,60882.924
淡078B,97,GPS,"2,753,111.65","278,426.47",0.94, 支距,2753030.671,278742.65
,67,轉換,"2,753,315.55","277,596.50",, 轉換,2753234.593,277912.667
, 地籍,轉換,"82,126.66","60,412.59",, 轉換,82046.415,60728.916
淡079,97,GPS,"2,752,997.71","278,303.70",-171.83, GPS,2752972.51,278845.483
,67,轉換,"2,753,201.61","277,473.72",, 轉換,2753176.444,278015.488
, 地籍,轉換,"82,012.44","60,290.10",, 轉換,81988.495,60831.873
淡080,97,GPS,"2,752,478.39","278,183.25",268.69, GPS,2752246.063,278646.207
,67,轉換,"2,752,682.32","277,353.26",, 轉換,2752450.021,277816.236
, 地籍,轉換,"81,492.86","60,170.88",, 轉換,81261.616,60634.304
淡080A,97,GPS,"2,752,076.46","277,980.33",43.33, 支距,2751803.153,278356.442
,67,轉換,"2,752,280.39","277,150.36",, 轉換,2752007.116,277526.499
, 地籍,轉換,"81,090.48","59,968.92",, 轉換,80818.051,60345.605
淡081,97,GPS,"2,751,951.62","277,787.93",154, GPS,2751594.743,278449.822
,67,轉換,"2,752,155.54","276,957.96",, 轉換,2751798.721,277619.899
, 地籍,轉換,"80,965.20","59,776.83",, 轉換,80609.864,60439.456
淡082,97,支距,"2,751,499.91","277,178.42",-1.03, GPS,2750995.617,278144.717
,67,轉換,"2,751,703.82","276,348.46",, 轉換,2751199.613,277314.835
, 地籍,轉換,"80,512.12","59,168.46",, 轉換,80010.051,60135.789
淡083,97,GPS,"2,750,536.49","277,388.23",698.27, GPS,2750088.567,278261.301
,67,轉換,"2,750,740.50","276,558.37",, 轉換,2750292.653,277431.531
, 地籍,轉換,"79,549.19","59,380.48",, 轉換,79103.378,60254.351
淡084,97,GPS,"2,750,093.15","277,246.35",633.71, GPS,2749756.114,277915.183
,67,轉換,"2,750,297.17","276,416.49",, 轉換,2749960.195,277085.414
, 地籍,轉換,"79,105.54","59,239.65",, 轉換,78770.136,59909.058
淡085,97,GPS,"2,749,561.41","276,768.12",472.92, GPS,2749173.361,277671.899
,67,轉換,"2,749,765.44","275,938.24",, 轉換,2749377.487,276842.176
, 地籍,轉換,"78,572.71","58,762.72",, 轉換,78186.825,59667.18
淡086,97,GPS,"2,748,998.29","276,859.04",859.85, GPS,2748693.053,277429.134
,67,轉換,"2,749,202.39","276,029.23",, 轉換,2748897.219,276599.44
, 地籍,轉換,"78,009.87","58,854.88",, 轉換,77705.953,59425.584
淡087,97,支距,"2,748,476.45","276,331.88",531.23, GPS,2748322.01,276833.867
,67,轉換,"2,748,680.57","275,502.04",, 轉換,2748526.187,276004.121
, 地籍,轉換,"77,486.82","58,329.04",, 轉換,77333.547,58831.287
淡088,97,GPS,"2,748,250.30","275,795.85",-0.03, GPS,2747838.834,276611.16
,67,轉換,"2,748,454.42","274,965.92",, 轉換,2748043.06,275781.417
